Month	preanal_length	Total_weight	sex	maturity	gonad_weight
7	178	80.5	*	*	*
7	101	13.5	*	*	*
7	158	57	*	*	*
7	101	19.5	*	*	*
7	100	19	*	*	*
7	84	6	*	*	*
7	89	10.5	*	*	*
7	72	7.5	*	*	*
7	84	13.5	*	*	*
7	80	6	*	*	*
7	87	12.5	*	*	*
7	60	1.5	*	*	*
7	62	3	*	*	*
7	92	11.5	*	*	*
7	90	11.5	*	*	*
7	56	2	*	*	*
7	77	7	*	*	*
7	78	9	*	*	*
7	95	15.5	*	*	*
7	95	20	*	*	*
3	95	10.5	M	*	*
5	150	41.5	M	*	0.11
9	198	117	*	I	*
9	193	121	*	I	0.15
9	196	114.5	*	I	0.36
9	200	140.5	*	I	0.19
9	176	89	*	I	0.03
9	225	166.5	F	I	0.27
9	208	156	F	I	0.84
8	210.43	216	F	I	1.72
8	105.47	109.5	F	I	0.76
8	96.60	100.5	*	I	0.3
8	57.68	61	*	I	0.06
8	55.21	58.5	F	I	0.2
8	103.50	107.5	*	I	0.12
8	65.56	69	*	I	0.09
8	103.01	107	*	I	0.43
8	56.69	60	*	I	0.04
8	53.24	56.5	*	I	0.08
8	49.30	52.5	*	I	0.05
7	177	78	*	I	0.13
7	184	93.5	*	I	0.42
7	164	70	*	I	0.18
7	173	76.5	*	I	0.16
7	166	74.5	*	I	0.16
7	171	70.5	*	I	0.33
7	159	59.5	*	I	0.13
7	162	58	*	I	0.07
7	129	33	*	I	0.04
7	165	67	*	I	0.03
7	161	58	*	I	0.13
7	169	68	*	I	0.09
7	180	77	*	I	0.15
7	146	51	*	I	0.02
7	135	36	*	I	0.06
6	153	54.5	M	I	0.18
6	170	79	M	I	0.28
3	165	26	M	I	0.04
3	160	41	M	I	0.07
3	135	23.5	M	I	0.04
3	126	24.5	M	I	0.07
3	124	24	M	I	0.08
3	114	19.5	*	I	0.01
3	116	15.5	M	I	0.04
9	226	158.5	F	M	1.46
9	225	171	M	M	1.61
9	236	180	F	M	4.4
9	176	99	M	M	0.65
9	218	144.5	F	M	0.57
9	224	160.5	M	M	1.03
9	223	165.5	M	M	0.99
9	253	226	M	M	1.41
9	237	226	M	M	0.95
9	235	180	F	M	9.35
9	254	234	M	M	2.96
9	245	218	M	M	1.63
9	231	193	F	M	4.36
9	238	194.5	F	M	7.79
9	244	230.5	F	M	1.26
9	237	199	F	M	3.46
9	245	207	F	M	2.64
9	215	156.5	F	M	2.1
9	257	149.5	F	M	0.82
9	207	115	M	M	0.71
9	222	155	F	M	4.76
9	210	133	M	M	0.83
9	203	117.5	M	M	1.52
8	289	223.5	F	M	11.66
8	301	366	F	M	12.86
8	292	344	M	M	3.39
8	256	238.5	M	M	2.43
8	248	216.5	F	M	2.23
8	304	406.5	F	M	8.43
8	258	229.5	M	M	2.93
8	254	231.5	F	M	3.38
8	242	226	F	M	4.75
8	275	275	F	M	6.49
8	250	252	M	M	6.17
8	205.50	211	M	M	0.28
8	216.34	222	F	M	3.34
8	194.17	199.5	F	M	11.27
8	233.10	239	F	M	2.14
8	182.34	187.5	F	M	1.75
8	208.95	214.5	F	M	2.94
8	233.59	239.5	F	M	3.78
8	145.88	150.5	F	M	1.07
8	91.18	95	F	M	0.65
7	395	1037.5	F	M	140.94
7	276	275	M	M	6.98
7	398	843	F	M	39.04
7	268	297.5	F	M	12.71
7	322	428.5	F	M	8.72
7	208	432	F	M	6.58
7	174	275.5	F	M	6.12
7	292	405.5	F	M	16.01
7	279	346.5	F	M	8.54
7	264	239	M	M	2.13
7	280	312	F	M	11.86
7	258	247.5	M	M	3.59
7	145	237.5	M	M	2.85
7	287	275.5	F	M	4.74
7	286	281.5	F	M	5.55
7	276	284.5	F	M	5.99
7	280	281	F	M	13.8
7	263	262	F	M	12.31
7	260	293	F	M	4.36
7	262	264.5	F	M	7.46
7	276	269	F	M	5.9
7	181	78	M	M	0.41
7	189	98	M	M	2.13
7	184	84	M	M	0.46
7	198	105.5	M	M	0.95
7	174	76	F	M	0.37
7	182	92	M	M	0.83
7	160	94.5	M	M	0.72
7	145	87	M	M	2.29
7	137	85.5	M	M	0.98
7	174	97	M	M	1.12
7	136	89	M	M	0.93
7	137	85.5	M	M	1.9
7	166	89	M	M	0.42
7	163	109.5	M	M	0.92
7	144	106.5	M	M	0.81
6	180	98.5	M	M	1.14
6	171	71.5	M	M	0.62
6	165	68	M	M	0.9
6	183	88	M	M	0.34
6	172	85	M	M	0.42
6	176	76	M	M	0.74
6	173	70	M	M	0.87
6	177	83	M	M	0.63
5	194	106.5	M	M	2.41
5	210	111.5	M	M	2.71
5	211	124	M	M	2.57
5	208	102	M	M	1.33
5	224	136.5	F	M	2.92
5	218	117	M	M	1.27
