Year	Stock	Recruitment 
1955	1137000	221000
1956	963000	289000
1957	937000	154000
1958	1071000	193000
1959	1032000	129000
1960	887000	178000
1961	568000	204000
1962	704000	216000
1963	649000	229000
1964	603000	320000
1965	430000	172000
1966	376000	248000
1967	337000	180000
1968	305000	189000
1969	413000	139000
1970	449000	273000
1971	343000	179000
1972	325000	261000
1973	345000	368000
1974	268000	143000
1975	238000	227000
1976	189000	244000
1977	257000	140000
1978	269000	141000
1979	379000	132000
1980	464000	233000
1981	385000	139000
1982	251000	138000
1983	188000	333000
1984	194000	264000
1985	231000	175000
1986	274000	87000
1987	215000	130000
1988	233000	104000
1989	225000	173000
1990	286000	136000
1991	231000	76000
1992	223000	152000
1993	174000	166000
1994	191000	86000
1995	217000	162000
1996	198000	68000
1997	241000	176000
1998	278000	160000
1999	251000	161000
2000	230000	185000
2001	219000	64000
2002	248000	155000
2003	234000	123000
