ID	TLength	Age	eggwgt1	eggwgt2	meandiam	stock
1	599	8	1.115555556	1.115128205	1.7325	NY
2	681	11	1.004074074	0.998	1.7147	NY
3	697	20	0.794814815	0.803235294	1.6011	NY
4	561	5	0.936571429	0.938214286	1.6384	NY
5	697	10	1.00175	1.001428571	1.6924	NY
6	709	10	1.0056	0.9975	1.7204	NY
7	650	10	0.858461538	0.854166667	1.6006	NY
8	558	5	0.989230769	0.9853125	1.664	NY
9	765	18	1.068787879	1.026086957	1.743	NY
10	668	10	1.04	1.0572	1.703	NY
11	539	7	1.158333333	1.161111111	1.7576	NY
12	693	13	0.642222222	0.642439024	1.5432	NY
13	664	10	1.033125	1.035806452	1.757	NY
14	677	10	1.04	1.028787879	1.724	NY
15	638	7	0.992068966	0.986896552	1.7256	NY
16	583	5	1.053333333	1.052580645	1.717	NY
17	655	12	0.957931034	0.953333333	1.6693	NY
18	632	7	1.0124	1.0125	1.7082	NY
19	562	5	0.974333333	0.98862069	1.6947	NY
20	585	6	0.853103448	0.865	1.6396	NY
21	569	5	0.931621622	0.945675676	1.6465	NY
22	569	5	0.81125	0.807435897	1.6042	NY
23	629	7	0.923103448	0.91625	1.6774	NY
24	559	6	0.88	0.882173913	1.6373	NY
25	647	7	1.045	1.034	1.728	NY
26	551	5	0.975517241	1.54	1.6854	NY
27	645	7	0.919166667	0.9388	1.6699	NY
28	572	6	0.964615385	0.961666667	1.6384	NY
29	694	10	1.022413793	1.025	1.7104	NY
30	596	7	0.907619048	0.921666667	1.6965	NY
31	537	6	0.79875	0.79037037	1.6019	NY
32	616	8	1.001785714	1.008846154	1.6977	NY
33	530	5	0.941428571	0.938421053	1.6546	NY
34	680	10	0.8896	0.880384615	1.6757	NY
35	699	10	0.885357143	0.879354839	1.646	NY
36	527	5	1.043928571	1.046363636	1.7199	NY
37	546	5	0.966	0.973461538	1.6746	NY
38	626	7	1.034705882	1.0375	1.704	NY
