Year	Stock	Recruitment
1971	8939	3075
1972	8221	565
1973	7673	1665
1974	7410	500
1975	6622	3889
1976	6301	1202
1977	7694	1714
1978	8625	1690
1979	8951	4249
1980	9461	7910
1981	10357	3357
1982	13045	1338
1983	13484	4620
1984	10403	4327
1985	13463	3903
1986	13454	3232
1987	10809	16555
1988	14770	8189
1989	24155	2488
1990	18023	2645
1991	10002	7461
1992	8142	7707
1993	11018	2282
1994	13004	8958
1995	11737	6249
1996	14410	4784
1997	12865	6575
1998	11228	3278
1999	9688	1612
2000	6525	7218
2001	7105	5968
2002	9465	1552
2003	8187	913
2004	4733	2053
2005	3840	2445
2006	4237	1371
