year	len	sex	maturity	age
1989	220	1	1	0
1989	220	2	1	0
1989	224	2	1	0
1989	229	1	1	0
1989	229	2	1	0
1989	230	1	1	0
1989	230	1	1	0
1989	230	2	1	0
1989	230	2	1	0
1989	230	2	1	0
1989	231	2	1	0
1989	235	2	1	0
1989	238	2	1	0
1989	240	2	1	0
1989	240	2	1	0
1989	310	1	1	1
1989	325	2	1	1
1989	340	1	1	1
1989	340	1	1	1
1989	340	1	2	1
1989	344	1	1	1
1989	345	1	1	1
1989	345	2	1	1
1989	345	2	1	1
1989	345	2	1	1
1989	350	2	1	1
1989	350	2	1	1
1989	350	2	1	1
1989	350	2	1	1
1989	350	2	1	1
1989	350	2	1	1
1989	350	2	2	4
1989	352	2	1	1
1989	355	1	1	1
1989	355	1	1	1
1989	355	1	1	1
1989	355	1	1	1
1989	355	2	1	1
1989	355	2	1	1
1989	360	1	1	1
1989	360	1	1	1
1989	360	1	1	1
1989	360	1	2	1
1989	360	2	1	1
1989	360	2	1	1
1989	360	2	1	1
1989	360	2	1	1
1989	360	2	1	1
1989	360	2	1	1
1989	360	2	1	1
1989	365	1	1	1
1989	365	1	1	1
1989	365	2	1	1
1989	365	2	1	1
1989	365	2	1	1
1989	365	2	1	1
1989	365	2	1	1
1989	368	2	1	1
1989	370	1	1	1
1989	370	1	1	1
1989	370	2	1	1
1989	373	2	1	1
1989	375	1	1	1
1989	375	2	1	1
1989	375	2	1	1
1989	375	2	1	1
1989	379	2	1	1
1989	380	1	2	1
1989	380	2	1	1
1989	382	2	1	1
1989	382	2	1	1
1989	385	2	1	1
1989	385	2	1	1
1989	385	2	1	1
1989	387	2	1	1
1989	388	1	1	1
1989	392	1	2	1
1989	400	1	2	3
1989	405	1	2	2
1989	406	2	1	3
1989	410	1	2	2
1989	410	2	1	2
1989	410	2	1	2
1989	420	1	2	3
1989	425	1	2	3
1989	425	2	1	2
1989	427	1	2	2
1989	430	1	2	2
1989	430	2	1	2
1989	432	2	1	2
1989	435	1	2	2
1989	435	1	2	2
1989	435	1	2	3
1989	435	2	1	3
1989	439	1	2	2
1989	440	1	2	2
1989	440	1	2	3
1989	445	1	2	2
1989	450	1	2	3
1989	451	2	1	2
1989	455	1	2	2
1989	455	1	2	2
1989	455	1	2	4
1989	455	2	1	2
1989	460	1	2	2
1989	460	2	1	2
1989	465	1	2	3
1989	465	2	1	2
1989	465	2	1	2
1989	470	1	2	4
1989	470	1	2	4
1989	470	1	2	4
1989	470	2	1	2
1989	471	2	1	3
1989	475	1	2	3
1989	475	1	2	4
1989	475	2	2	3
1989	478	1	1	3
1989	480	1	2	3
1989	480	1	2	3
1989	480	1	2	4
1989	480	2	1	2
1989	480	2	2	4
1989	482	2	2	3
1989	485	1	2	3
1989	485	1	2	3
1989	485	1	2	3
1989	485	1	2	4
1989	485	1	2	4
1989	485	1	2	4
1989	485	1	2	5
1989	487	1	1	6
1989	490	1	2	3
1989	490	1	2	3
1989	490	1	2	3
1989	490	1	2	4
1989	490	1	2	4
1989	490	2	2	3
1989	491	2	2	3
1989	495	1	2	3
1989	495	1	2	4
1989	495	1	2	5
1989	495	2	2	3
1989	500	1	2	3
1989	500	1	2	4
1989	500	1	2	4
1989	500	1	2	4
1989	500	2	2	3
1989	500	2	2	3
1989	505	2	1	3
1989	505	2	2	3
1989	510	1	2	3
1989	510	1	2	4
1989	510	1	2	4
1989	510	1	2	4
1989	510	1	2	4
1989	510	1	2	4
1989	510	1	2	4
1989	510	1	2	4
1989	511	2	1	3
1989	512	2	2	3
1989	515	1	2	3
1989	515	1	2	4
1989	515	1	2	4
1989	515	1	2	4
1989	515	1	2	4
1989	515	1	2	4
1989	515	1	2	6
1989	515	2	2	3
1989	515	2	2	3
1989	515	2	2	4
1989	518	1	2	3
1989	520	1	2	3
1989	520	1	2	4
1989	520	1	2	4
1989	520	1	2	4
1989	520	1	2	4
1989	520	1	2	4
1989	520	1	2	4
1989	520	1	2	4
1989	520	2	2	3
1989	520	2	2	4
1989	522	1	2	4
1989	524	2	2	3
1989	525	1	2	5
1989	525	2	1	3
1989	530	1	2	4
1989	530	1	2	4
1989	530	1	2	4
1989	530	1	2	4
1989	530	2	2	3
1989	530	2	2	4
1989	530	2	2	4
1989	535	2	2	4
1989	535	2	2	4
1989	539	2	2	3
1989	540	1	2	4
1989	540	2	1	3
1989	540	2	1	3
1989	540	2	2	3
1989	540	2	2	3
1989	540	2	2	4
1989	540	2	2	4
1989	541	2	2	3
1989	542	2	2	3
1989	543	2	2	4
1989	543	2	2	4
1989	545	2	2	4
1989	545	2	2	4
1989	546	1	2	4
1989	550	1	2	4
1989	550	1	2	5
1989	550	1	2	5
1989	550	1	2	5
1989	550	2	2	3
1989	550	2	2	4
1989	550	2	2	4
1989	550	2	2	4
1989	550	2	2	4
1989	555	1	2	4
1989	555	1	2	5
1989	555	2	2	4
1989	555	2	2	5
1989	558	2	2	3
1989	558	2	2	4
1989	560	2	2	4
1989	560	2	2	5
1989	560	2	2	5
1989	563	1	2	5
1989	565	1	2	4
1989	565	1	2	4
1989	565	1	2	5
1989	565	1	2	7
1989	565	2	2	4
1989	567	2	2	4
1989	570	2	2	3
1989	570	2	2	4
1989	570	2	2	4
1989	570	2	2	5
1989	575	2	2	5
1989	575	2	2	5
1989	575	2	2	5
1989	580	1	2	5
1989	580	2	2	4
1989	580	2	2	4
1989	580	2	2	5
1989	582	2	2	3
1989	582	2	2	4
1989	585	1	2	6
1989	585	2	2	6
1989	595	2	2	4
1989	605	1	2	6
1989	640	2	2	5
1989	642	2	2	7
1989	654	2	2	5
1989	655	2	2	6
1989	657	2	2	5
1989	660	2	2	6
1989	675	2	2	7
1990	210	2	1	0
1990	215	2	1	0
1990	224	2	1	0
1990	225	1	1	0
1990	225	2	1	0
1990	230	2	1	0
1990	230	2	1	0
1990	230	2	1	0
1990	235	1	1	0
1990	240	1	1	0
1990	240	1	1	0
1990	310	1	1	1
1990	310	1	1	1
1990	310	2	1	1
1990	310	2	1	1
1990	315	1	1	1
1990	315	2	1	1
1990	320	1	1	1
1990	320	2	1	1
1990	320	2	1	1
1990	325	1	1	1
1990	325	2	1	1
1990	325	2	1	1
1990	330	1	1	1
1990	330	1	1	1
1990	330	1	1	1
1990	330	1	1	1
1990	330	1	1	1
1990	330	1	1	1
1990	330	1	1	1
1990	330	1	1	1
1990	330	1	1	1
1990	330	1	1	1
1990	330	2	1	1
1990	330	2	1	1
1990	330	2	1	1
1990	330	2	1	1
1990	330	2	1	1
1990	335	1	1	1
1990	335	1	1	1
1990	335	1	1	1
1990	335	1	1	1
1990	335	1	1	1
1990	335	1	1	1
1990	335	1	1	1
1990	335	1	1	1
1990	335	1	1	1
1990	335	1	1	1
1990	335	1	1	1
1990	335	2	1	1
1990	335	2	1	1
1990	335	2	1	1
1990	335	2	1	1
1990	335	2	1	1
1990	335	2	1	1
1990	335	2	1	1
1990	335	2	1	1
1990	335	2	1	1
1990	335	2	1	1
1990	335	2	1	1
1990	335	2	1	1
1990	335	2	1	1
1990	335	2	1	1
1990	335	2	1	1
1990	335	2	1	1
1990	335	2	1	1
1990	335	2	1	1
1990	340	1	1	1
1990	340	1	1	1
1990	340	1	1	1
1990	340	1	1	1
1990	340	1	1	1
1990	340	1	1	1
1990	340	1	1	1
1990	340	1	1	1
1990	340	1	1	1
1990	340	1	1	1
1990	340	1	2	1
1990	340	2	1	1
1990	340	2	1	1
1990	340	2	1	1
1990	340	2	1	1
1990	340	2	1	1
1990	340	2	1	1
1990	340	2	1	1
1990	340	2	1	1
1990	340	2	1	1
1990	340	2	1	1
1990	340	2	1	1
1990	345	1	1	1
1990	345	1	1	1
1990	345	1	1	1
1990	345	1	1	1
1990	345	1	1	1
1990	345	1	1	1
1990	345	1	2	1
1990	345	2	1	1
1990	345	2	1	1
1990	345	2	1	1
1990	345	2	1	1
1990	345	2	1	1
1990	345	2	1	1
1990	345	2	1	1
1990	345	2	1	1
1990	345	2	1	1
1990	345	2	1	1
1990	345	2	1	1
1990	345	2	1	1
1990	345	2	1	1
1990	345	2	1	1
1990	345	2	1	1
1990	350	1	1	1
1990	350	1	1	1
1990	350	1	1	1
1990	350	1	1	1
1990	350	1	1	1
1990	350	1	1	1
1990	350	1	1	1
1990	350	1	1	1
1990	350	1	1	2
1990	350	1	2	1
1990	350	1	2	1
1990	350	2	1	1
1990	350	2	1	1
1990	350	2	1	1
1990	350	2	1	1
1990	350	2	1	1
1990	350	2	1	1
1990	350	2	1	1
1990	350	2	1	1
1990	350	2	1	1
1990	350	2	1	1
1990	350	2	1	1
1990	350	2	1	1
1990	350	2	1	1
1990	350	2	1	1
1990	350	2	1	1
1990	355	1	1	1
1990	355	1	1	1
1990	355	1	1	1
1990	355	1	1	1
1990	355	1	1	1
1990	355	1	1	1
1990	355	1	1	1
1990	355	1	1	1
1990	355	1	1	1
1990	355	1	1	1
1990	355	1	1	1
1990	355	2	1	1
1990	355	2	1	1
1990	355	2	1	1
1990	355	2	1	1
1990	355	2	1	1
1990	355	2	1	1
1990	355	2	1	1
1990	355	2	1	1
1990	355	2	1	1
1990	355	2	1	1
1990	355	2	1	1
1990	355	2	1	1
1990	355	2	1	1
1990	355	2	1	1
1990	355	2	1	1
1990	360	1	1	1
1990	360	1	1	1
1990	360	1	1	1
1990	360	1	1	1
1990	360	1	1	1
1990	360	1	2	1
1990	360	2	1	1
1990	360	2	1	1
1990	360	2	1	1
1990	360	2	1	1
1990	360	2	1	1
1990	360	2	1	1
1990	360	2	1	1
1990	360	2	1	1
1990	360	2	1	1
1990	360	2	1	2
1990	363	1	1	1
1990	365	1	1	1
1990	365	1	1	1
1990	365	1	1	1
1990	365	1	1	1
1990	365	1	1	1
1990	365	2	1	1
1990	365	2	1	1
1990	365	2	1	1
1990	365	2	1	1
1990	365	2	1	1
1990	365	2	1	1
1990	365	2	1	1
1990	370	1	1	1
1990	370	1	1	1
1990	370	1	1	1
1990	370	1	1	1
1990	370	1	1	1
1990	370	1	2	2
1990	370	2	1	1
1990	370	2	1	1
1990	370	2	1	1
1990	370	2	1	1
1990	370	2	1	1
1990	375	1	2	1
1990	375	2	1	1
1990	375	2	1	1
1990	380	1	1	1
1990	380	2	1	1
1990	385	1	1	1
1990	395	1	2	4
1990	400	1	2	2
1990	405	2	1	2
1990	415	1	2	2
1990	420	1	2	2
1990	420	1	2	3
1990	420	2	1	2
1990	420	2	1	2
1990	420	2	1	2
1990	425	1	1	2
1990	425	1	2	2
1990	425	1	2	2
1990	425	1	2	2
1990	425	1	2	2
1990	425	1	2	3
1990	425	2	1	2
1990	430	1	2	2
1990	430	1	2	2
1990	430	1	2	2
1990	430	1	2	2
1990	430	1	2	2
1990	430	1	2	2
1990	430	1	2	2
1990	435	1	2	2
1990	435	1	2	2
1990	435	1	2	2
1990	435	1	2	2
1990	435	1	2	2
1990	435	1	2	2
1990	435	1	2	2
1990	435	1	2	3
1990	435	2	1	2
1990	435	2	1	3
1990	440	1	2	2
1990	440	1	2	2
1990	440	1	2	2
1990	440	1	2	2
1990	440	1	2	3
1990	440	1	2	4
1990	440	2	1	2
1990	440	2	1	2
1990	443	1	2	2
1990	445	1	2	2
1990	445	1	2	2
1990	445	1	2	2
1990	445	1	2	3
1990	445	1	2	4
1990	445	1	2	6
1990	445	2	1	2
1990	445	2	1	2
1990	450	1	1	2
1990	450	1	2	2
1990	450	1	2	2
1990	450	1	2	2
1990	450	1	2	2
1990	450	1	2	5
1990	450	2	1	2
1990	450	2	1	2
1990	450	2	2	2
1990	455	1	2	2
1990	455	1	2	2
1990	455	1	2	3
1990	455	1	2	3
1990	455	1	2	4
1990	455	1	2	6
1990	455	2	1	1
1990	455	2	1	2
1990	455	2	1	2
1990	460	1	1	3
1990	460	1	2	1
1990	460	1	2	2
1990	460	1	2	2
1990	460	1	2	2
1990	460	1	2	3
1990	460	1	2	4
1990	460	1	2	5
1990	460	2	1	2
1990	460	2	1	2
1990	460	2	1	2
1990	460	2	1	3
1990	465	1	2	2
1990	465	1	2	3
1990	465	1	2	3
1990	465	1	2	3
1990	465	1	2	3
1990	465	1	2	5
1990	465	2	1	2
1990	470	1	2	2
1990	470	1	2	3
1990	470	1	2	3
1990	470	1	2	3
1990	475	1	2	3
1990	475	1	2	3
1990	475	1	2	4
1990	475	1	2	6
1990	475	2	1	2
1990	480	1	2	3
1990	480	1	2	3
1990	480	1	2	3
1990	480	1	2	5
1990	480	2	1	2
1990	480	2	1	2
1990	480	2	1	2
1990	480	2	1	2
1990	485	1	2	2
1990	485	1	2	2
1990	485	1	2	2
1990	485	1	2	3
1990	485	1	2	3
1990	485	1	2	4
1990	485	1	2	4
1990	485	1	2	4
1990	485	1	2	7
1990	490	1	2	4
1990	490	1	2	4
1990	490	1	2	6
1990	490	2	2	4
1990	495	1	2	3
1990	495	1	2	3
1990	495	1	2	4
1990	495	1	2	5
1990	500	1	2	3
1990	500	1	2	4
1990	500	1	2	4
1990	500	1	2	5
1990	505	1	2	3
1990	505	1	2	4
1990	505	1	2	4
1990	505	1	2	5
1990	505	1	2	6
1990	505	1	2	6
1990	505	2	2	3
1990	510	1	2	2
1990	510	1	2	4
1990	510	1	2	4
1990	510	1	2	4
1990	510	1	2	4
1990	510	1	2	5
1990	510	1	2	5
1990	510	2	1	3
1990	510	2	2	4
1990	510	2	2	4
1990	515	1	2	3
1990	515	1	2	3
1990	515	1	2	3
1990	515	1	2	4
1990	515	2	2	4
1990	515	2	2	4
1990	520	1	2	4
1990	520	1	2	4
1990	520	1	2	4
1990	520	1	2	5
1990	520	1	2	6
1990	520	1	2	6
1990	520	1	2	6
1990	520	1	2	6
1990	520	2	2	4
1990	525	1	1	4
1990	525	1	2	4
1990	525	1	2	4
1990	525	1	2	4
1990	525	1	2	5
1990	525	1	2	5
1990	525	2	2	3
1990	525	2	2	4
1990	525	2	2	4
1990	525	2	2	5
1990	530	1	2	3
1990	530	1	2	4
1990	530	1	2	4
1990	530	1	2	4
1990	530	1	2	4
1990	530	1	2	4
1990	530	1	2	5
1990	530	1	2	5
1990	530	1	2	5
1990	530	1	2	5
1990	530	1	2	5
1990	530	2	2	6
1990	535	1	2	3
1990	535	1	2	3
1990	535	1	2	3
1990	535	1	2	5
1990	535	1	2	5
1990	535	1	2	5
1990	535	1	2	6
1990	540	1	2	3
1990	540	1	2	4
1990	540	1	2	5
1990	540	1	2	5
1990	540	1	2	5
1990	540	1	2	5
1990	540	1	2	5
1990	540	1	2	5
1990	540	1	2	6
1990	540	1	2	6
1990	540	1	2	6
1990	540	2	2	4
1990	540	2	2	4
1990	540	2	2	4
1990	545	1	2	4
1990	545	2	2	3
1990	545	2	2	6
1990	545	2	2	7
1990	550	1	2	3
1990	550	1	2	5
1990	550	1	2	6
1990	550	1	2	7
1990	550	2	2	4
1990	550	2	2	4
1990	550	2	2	5
1990	555	1	2	4
1990	555	1	2	5
1990	555	1	2	5
1990	555	1	2	5
1990	555	1	2	5
1990	555	1	2	5
1990	555	2	2	6
1990	560	1	2	4
1990	560	1	2	4
1990	560	1	2	5
1990	560	1	2	6
1990	560	1	2	6
1990	560	1	2	6
1990	560	2	2	3
1990	560	2	2	3
1990	560	2	2	3
1990	560	2	2	4
1990	560	2	2	4
1990	565	1	2	5
1990	565	1	2	5
1990	565	1	2	5
1990	565	1	2	6
1990	565	2	2	4
1990	565	2	2	4
1990	570	1	2	7
1990	570	2	2	4
1990	570	2	2	4
1990	570	2	2	4
1990	570	2	2	4
1990	570	2	2	5
1990	575	1	2	5
1990	575	1	2	5
1990	575	2	2	4
1990	580	1	2	5
1990	580	1	2	5
1990	580	1	2	8
1990	580	2	2	3
1990	580	2	2	3
1990	580	2	2	4
1990	580	2	2	4
1990	580	2	2	4
1990	580	2	2	4
1990	580	2	2	4
1990	580	2	2	5
1990	580	2	2	6
1990	585	2	2	2
1990	585	2	2	5
1990	585	2	2	6
1990	590	1	2	4
1990	590	1	2	4
1990	590	1	2	7
1990	590	2	2	5
1990	590	2	2	5
1990	590	2	2	5
1990	590	2	2	5
1990	590	2	2	6
1990	590	2	2	6
1990	590	2	2	7
1990	595	1	2	8
1990	595	2	2	4
1990	595	2	2	4
1990	595	2	2	4
1990	595	2	2	5
1990	600	1	2	4
1990	600	1	2	7
1990	600	2	2	4
1990	600	2	2	5
1990	600	2	2	6
1990	605	2	2	5
1990	605	2	2	5
1990	610	2	2	6
1990	615	1	1	6
1990	615	2	2	5
1990	620	2	2	4
1990	620	2	2	5
1990	620	2	2	5
1990	620	2	2	5
1990	625	1	2	4
1990	625	2	2	5
1990	630	2	2	7
1990	640	2	2	4
1990	640	2	2	5
1990	645	2	2	6
1990	645	2	2	8
1990	650	2	2	4
1990	650	2	2	6
1990	650	2	2	6
1990	660	2	2	7
1991	208	1	1	0
1991	220	1	1	0
1991	222	2	1	0
1991	226	1	1	0
1991	232	1	1	0
1991	232	1	1	0
1991	232	1	1	0
1991	233	1	1	0
1991	233	2	1	0
1991	236	2	1	0
1991	240	2	1	0
1991	241	1	1	0
1991	242	2	1	0
1991	245	1	1	0
1991	245	2	1	0
1991	247	2	1	0
1991	250	1	1	0
1991	252	2	1	0
1991	261	2	1	0
1991	262	1	1	0
1991	305	1	1	1
1991	307	2	1	1
1991	321	2	1	1
1991	330	1	1	1
1991	331	2	1	1
1991	331	2	1	1
1991	333	1	1	1
1991	334	1	1	1
1991	336	1	1	1
1991	337	1	1	1
1991	338	1	1	1
1991	338	1	1	1
1991	340	1	1	1
1991	340	2	1	1
1991	341	1	1	1
1991	341	2	1	1
1991	342	1	1	1
1991	342	2	1	1
1991	343	1	1	1
1991	343	2	1	1
1991	344	2	1	1
1991	345	1	1	1
1991	345	1	1	1
1991	345	2	1	1
1991	346	2	1	1
1991	346	2	1	1
1991	347	1	1	1
1991	347	1	1	1
1991	347	1	1	1
1991	347	1	1	1
1991	347	2	1	1
1991	347	2	1	1
1991	348	1	1	1
1991	348	1	1	1
1991	348	2	1	1
1991	348	2	1	1
1991	349	1	1	1
1991	349	1	2	1
1991	350	1	1	1
1991	350	1	1	1
1991	351	2	1	1
1991	351	2	1	1
1991	351	2	1	1
1991	352	1	1	1
1991	352	1	1	1
1991	352	1	1	1
1991	352	2	1	1
1991	353	1	1	1
1991	353	1	1	1
1991	353	1	1	1
1991	353	2	1	1
1991	353	2	1	1
1991	353	2	1	1
1991	354	1	1	1
1991	354	1	1	1
1991	354	2	1	1
1991	354	2	1	1
1991	355	1	1	1
1991	355	1	2	1
1991	355	2	1	1
1991	356	1	1	1
1991	356	2	1	1
1991	357	1	1	1
1991	357	1	1	1
1991	357	1	2	1
1991	357	2	1	1
1991	358	1	1	1
1991	358	1	1	1
1991	358	1	1	1
1991	358	2	1	1
1991	358	2	1	1
1991	359	2	1	1
1991	359	2	1	1
1991	360	1	1	1
1991	360	1	1	1
1991	360	1	1	1
1991	360	2	1	1
1991	360	2	1	1
