"ID" "TLength" "Age" "s1_T_wgt" "s1_T_egg" "s1_N" "s1_Tin2" "s2_T_wgt" "s2_T_egg" "s2_N" "s2_Tin2" "stock" "y" "eggwgt1" "eggwgt2"
"1" 1 530 7 991.9 1023.26 29 992.29 1015.93 1042.04 24 1016.46 "SB" 1 1.06793103448276 1.06583333333333
"2" 2 533 5 992.14 1029.71 34 992.53 987.33 1011.62 22 987.52 "SB" 1 1.09352941176471 1.09545454545455
"3" 3 444 4 1017.59 1041.1 27 1018.15 992.72 1020.88 33 993.05 "SB" 1 0.849999999999997 0.843333333333335
"4" 4 503 4 1024.74 1044.57 21 1024.72 1038.49 1061.5 24 1038.63 "SB" 1 0.94523809523809 0.952916666666662
"5" 5 478 4 1008.71 1029.79 25 1009.09 977.03 999.47 27 977.15 "SB" 1 0.827999999999997 0.826666666666669
"6" 6 558 7 1005.27 1030.24 27 1005.42 1013.9 1042.89 31 1014.15 "SB" 1 0.919259259259261 0.927096774193552
"7" 7 492 5 991.21 1015.43 24 991.53 1002.58 1027.8 25 1002.91 "SB" 1 0.995833333333332 0.9956
"8" 8 512 5 989.51 1027.24 35 989.58 1009.93 1043.43 31 1009.85 "SB" 1 1.076 1.08322580645161
"9" 9 542 5 967.49 985.21 19 967.61 960.2 987.14 29 960.46 "SB" 1 0.926315789473685 0.919999999999998
"10" 10 550 5 1038 1061.9 29 1038.2 1032.34 1057.07 30 1032.47 "SB" 1 0.817241379310346 0.819999999999997
"11" 11 591 11 989.34 1016.75 28 989.42 970.27 1000.13 30 970.36 "SB" 1 0.97607142857143 0.992333333333333
"12" 12 519 5 984.23 1010.78 33 984.3 997.47 1019.96 28 997.49 "SB" 1 0.802424242424243 0.802500000000001
"13" 13 496 5 1008.58 1036.89 31 1008.68 1012.51 1037.74 27 1012.52 "SB" 1 0.910000000000005 0.934074074074075
"14" 14 664 10 1036.74 1060.26 23 1037.07 1007.58 1037 29 1007.56 "SB" 1 1.00826086956522 1.01517241379311
"15" 15 460 4 1020.58 1044.74 26 1020.97 1021.87 1048.21 28 1022.36 "SB" 1 0.914230769230769 0.923214285714287
"16" 16 557 5 988.18 1019.36 34 988.38 1012.85 1041.66 31 1013.12 "SB" 1 0.911176470588236 0.920645161290325
"17" 17 495 5 983.6 1004.73 25 983.83 983.75 1004.09 24 983.94 "SB" 1 0.835999999999999 0.839583333333332
"18" 18 591 9 1043.09 1069.37 27 1043.37 1001.51 1027.07 26 1001.74 "SB" 1 0.962962962962963 0.974230769230766
"19" 19 556 11 1033.01 1058.71 24 1033.28 1001.92 1033.22 29 1002.29 "SB" 1 1.05958333333334 1.06655172413793
"20" 20 727 15 1012.68 1039.69 27 1012.83 998.96 1026.34 27 999.12 "SB" 1 0.994814814814815 1.00814814814814
"21" 21 450 4 1011.7 1039.15 29 1011.91 962.34 990.1 29 962.55 "SB" 1 0.93931034482759 0.950000000000002
"22" 22 481 4 999.17 1035.3 39 999.65 962.99 987.18 26 963.56 "SB" 1 0.914102564102564 0.908461538461539
"23" 23 760 15 1026.63 1050.68 22 1026.75 978.45 1003.29 23 978.45 "SB" 1 1.08772727272728 1.08
"24" 24 622 10 985.65 1010.73 30 985.97 1015.24 1041.79 31 1015.36 "SB" 1 0.825333333333333 0.852580645161289
"25" 25 691 10 1028.16 1057.22 32 1028.53 985.66 1006.68 23 986.06 "SB" 1 0.896562500000002 0.896521739130435
"26" 26 702 16 1011.03 1036.27 26 1011.15 989.57 1021.6 34 989.77 "SB" 1 0.966153846153846 0.936176470588237
"27" 27 571 5 974.68 1001.93 31 974.83 1006.71 1034.89 32 1007.07 "SB" 1 0.874193548387094 0.869375000000002
"28" 28 594 7 1022.55 1049.75 26 1022.97 1046.17 1073.66 26 1046.59 "SB" 1 1.03 1.04115384615385
"29" 29 522 5 984.24 1012.43 31 984.48 1002.46 1028.9 29 1002.62 "SB" 1 0.901612903225804 0.906206896551727
"30" 30 542 7 986.11 1011.69 28 986.17 1039.97 1061.34 24 1039.92 "SB" 1 0.911428571428575 0.892499999999994
"31" 31 554 6 1005.06 1033.48 26 1005.28 989.92 1016.2 24 990.2 "SB" 1 1.08461538461539 1.08333333333333
"32" 32 521 4 970.6 997.71 28 970.69 1002.59 1032.67 31 1002.83 "SB" 1 0.965 0.962580645161291
"33" 33 720 10 977.12 1001.16 24 977.46 969 988.78 20 969.21 "SB" 1 0.987499999999997 0.978499999999997
"34" 34 529 5 998.32 1017.61 20 998.35 973.1 995.39 23 973.25 "SB" 1 0.963 0.962608695652173
"35" 35 595 9 1044.55 1070.64 29 1044.75 1041.73 1062.2 23 1042.06 "SB" 1 0.892758620689659 0.875652173913048
"36" 36 555 5 1004.45 1031.07 30 1004.7 999.12 1022.06 26 999.36 "SB" 1 0.878999999999996 0.87307692307692
"37" 37 478 4 948.92 972.43 26 949.59 983.54 1008.41 28 984.16 "SB" 1 0.878461538461535 0.866071428571429
"38" 38 511 5 979.92 1017.52 37 980.17 978.7 1009.35 30 978.93 "SB" 1 1.00945945945946 1.014
"39" 39 574 9 974.61 1011.05 35 974.8 1005.74 1026.31 20 1006.07 "SB" 1 1.03571428571429 1.01199999999999
"40" 40 535 5 1007.49 1030.52 22 1007.65 1003.44 1021.18 17 1003.59 "SB" 1 1.03954545454545 1.03470588235294
"41" 41 573 7 1031.16 1052.39 22 1031.36 1013.67 1035.73 23 1013.82 "SB" 1 0.9559090909091 0.952608695652173
"42" 42 523 6 986.82 1016.46 32 986.65 985.97 1017.22 34 985.49 "SB" 1 0.931562500000002 0.933235294117648
"43" 43 684 8 1000.72 1034.9 35 1000.9 997.7 1030.67 34 997.89 "SB" 1 0.971428571428575 0.964117647058826
"44" 44 516 5 1008.83 1039.24 30 1009.34 1034.46 1066.82 32 1035.2 "SB" 1 0.996666666666666 0.988124999999997
"45" 45 678 9 1017.83 1041.15 22 1017.57 985.72 1018.39 29 985.89 "SB" 1 1.07181818181818 1.12068965517241
"46" 46 443 4 992.55 1020.56 30 992.72 964.26 995.95 34 964.51 "SB" 1 0.927999999999997 0.924705882352943
"47" 47 545 6 1000.85 1026.56 27 1001.22 980.4 1001.11 22 980.65 "SB" 1 0.938518518518516 0.930000000000002
"48" 48 702 17 983.92 1012.52 29 983.94 994.45 1025.08 31 994.41 "SB" 1 0.985517241379308 0.989354838709676
"49" 49 578 10 1017.61 1041.94 23 1017.71 1000.22 1024.19 23 1000.35 "SB" 1 1.05347826086957 1.03652173913044
"50" 50 704 10 1020.95 1049.01 30 1021.31 1017.55 1050.88 36 1018.1 "SB" 1 0.923333333333335 0.910555555555558
"51" 51 510 5 1001.83 1034.22 33 1001.95 980.73 1000.81 20 980.95 "SB" 1 0.977878787878787 0.992999999999995
