No.	ID	Year	Month	Preanal.length.mm	Sex	Maturity	Reader1.Me	Reader2	mean
1	I7-58	2013	7	71	*	I	0	0	0
2	I3-41	2013	3	95	*	I	0	0	0
3	I1-63	2015	1	102	*	I	0	1	0.5
4	I10-54	2013	10	107	*	I	0	0	0
5	I10-32	2013	10	112	*	I	0	0	0
6	I3-38	2013	3	119	M	M	1	1	1
7	I3-37	2013	3	120	M	M	1	1	1
8	I7-47	2013	7	122	*	*	1	1	1
9	I11-39	2014	11	129	*	I	1	1	1
10	I3-39	2013	3	141	M	M	1	0	0.5
11	I10-42	2013	10	146	*	I	1	1	1
12	I4-06	2013	4	151	M	M	1	1	1
13	I6-02	2013	6	153	M	I	1	1	1
14	I3-10	2013	3	160	M	I	1	1	1
15	I3-03	2013	3	165	M	I	1	2	1.5
16	I9-6	2013	9	176	M	M	1	2	1.5
17	I11-27	2014	11	184	*	I	1	2	1.5
18	I5-15	2013	5	193	M	M	2	2	2
19	I9-7	2013	9	196	*	I	2	2	2
20	I9-30	2013	9	203	M	M	2	2	2
21	I5-29	2013	5	205	M	M	2	3	2.5
22	I12-18	2013	12	208	M	M	3	2	2.5
23	I10-26	2013	10	211	M	M	3	3	3
24	I5-23	2013	5	214	M	M	3	3	3
25	I11-8	2013	11	219	M	M	3	3	3
26	I9-9	2013	9	224	M	M	3	3	3
27	I2-3	2014	2	226	M	M	3	3	3
28	I1-18	2014	1	235	M	M	3	3	3
29	I3-27	2014	3	237	M	M	3	3	3
30	I1-19	2015	1	262	M	M	4	4	4
31	I5-3	2015	5	268	M	M	4	3	3.5
32	I3-25	2014	3	280	M	M	4	3	3.5
33	I3-03	2015	3	322	M	M	4	3	3.5
34	I5-7	2015	5	355	M	M	5	4	4.5
