catnum	length							
P04517	21.9							
P04517	16.5							
P04517	23.6							
P04517	26.5							
P04517	24.1							
P04517	22.7							
P04517	25		                                        					
P04517	23.5							
P04517	24.4							
P04517	24.4							
P04517	25.4							
P04517	20.9							
P04517	23.8							
P04517	24.2							
P04517	24.3							
P04517	24.3							
P04517	24.3							
P04517	23.2							
P04517	24.2							
P04517	22							
P04517	20.2							
P04517	21.9							
P04517	26.3							
P04517	22.1							
P04517	19.7							
P04517	24.1							
P04517	23.8							
P04517	25.8							
P04517	26.5							
P04517	26.5							
P04517	24.2							
P04517	21.8							
P04517	20.5							
P04517	15.9							
P04517	28.4							
P04517	18.9							
P04517	22.7							
P04517	26.8							
P04517	24							
P04517	21.7							
P04517	27.1							
P04517	24.8							
P04517	24.5							
P04517	20.2							
P04517	24.9							
P04517	28.5							
P04517	20.9							
P04517	23.2							
P04517	23.5							
P04517	23.5							
P04517	23.5							
P04517	23.1							
P04517	22.6							
P04517	25							
P04517	19.3							
P04517	20.9							
P04517	21.7							
P04517	16.9							
P04517	21.5							
P04517	20.1							
P04517	24.9							
P04517	11.3							
P04517	19.2							
P04517	24.6							
P04517	19.2							
P04517	21.6							
P04517	23.8							
P04517	27							
P04517	19.7							
P04517	19.7							
P04517	23.8							
P04517	23.8							
P04517	29							
P04517	21							
P04517	25.9							
P04517	29.5							
P04517	21.1							
P04517	20.3							
P04517	26.2							
P04517	21.3							
P04517	18.2							
P04517	20.6							
P04517	26.8							
P04517	26							
P04517	22.2							
P04517	26.3							
P04517	24.4							
P04517	21.1							
P04517	22.1							
P04517	22.1							
P04517	23.2							
P04517	25.4							
P04517	25.6							
P04517	22.7							
P04517	19.3							
P04517	21.9							
P04517	21.8							
P04517	21.8							
P04517	21.4							
P04517	22.9							
P04517	20.4							
P04517	23.7							
P04517	21.4							
P04517	26.1							
P04517	25.6							
P04517	24							
P04517	21.7							
P04517	19.7							
P04517	22.4							
P04517	22.4							
P04517	20.8							
P04517	16.7							
P04517	26.4							
P04517	25.2							
P04517	17.7							
P04517	24.6							
P04517	21.8							
P04517	26.5							
P04517	21.2							
P04517	22.8							
P04517	22							
P04517	26							
P04517	21.3							
P04517	24.5							
P04517	25.9							
P04517	31							
P04517	23.2							
P04517	24.1							
P04517	19.8							
P04517	19.8							
P04517	21.5							
P04517	15.9							
P04517	19.6							
P04517	19.4							
P04517	22.2							
P04517	24							
P04517	23							
P04517	21.8							
P04517	24.8							
P04517	23.2							
P04517	21.8							
P04517	21							
P04517	22.9							
P04517	24.2							
P04517	18.6							
P04517	24.5							
P04517	25.5							
P04517	24.8							
P04517	19.5							
P04517	19.5							
P04517	24.9							
P04517	24.6							
P04517	22.1							
P04517	23.5							
P04517	26.7							
P04517	21.9							
P04517	19.8							
P04517	23.5							
P04517	23.9							
P04517	23.2							
P04517	22.6							
P04517	18.8							
P04517	22.6							
P04517	26.5							
P04517	23.9							
P04517	22.1							
P04517	20.1							
P04517	23							
P04517	22.5							
P04517	22.5							
P04517	23.6							
P04517	22							
P04517	18.8							
P04517	19.2							
P04517	22.8							
P04517	25.1							
P04517	20.8							
P04517	19.2							
P04517	21.2							
P04517	19.8							
P04517	21.3							
P04517	24							
P04517	25.1							
P04517	25.2							
P04517	21.9							
P04517	24.4							
P04517	22.5							
P04517	24							
P04517	22.2							
P04517	22.2							
P04517	25.5							
P04517	23.6							
P04517	18.1							
P04517	19.1							
P04517	22.3							
P04517	27.4							
P04517	19.7							
P04517	22.3							
P04517	26							
P04517	21.7							
P04520	27.8							
P04520	21.6							
P04520	27.1							
P04520	26.3							
P04520	22.5							
P04520	23.8							
P04520	20							
P04520	24.5							
P04520	25.9							
P04520	14.9							
P04520	25.1							
P04520	21.5							
P04520	21.5							
P04520	23.3							
P04520	24.6							
P04520	22.6							
P04520	27.5							
P04520	26.6							
P04520	24.4							
P04520	21.6							
P04520	22.1							
P04520	21.6							
P04520	24.1							
P04520	29							
P04520	24.7							
P04520	29.9							
P04520	22.9							
P04520	24.5							
P04520	25.3							
P04520	26.4							
P04520	21.8							
P04520	27							
P04520	25.1							
P04520	19.3							
P04520	21.8							
P04520	20.9							
P04520	26.6							
P04520	27.8							
P04520	26.7							
P04520	25.4							
P04520	30.9							
P04520	12.4							
P04520	23.1							
P04520	23.7							
P04520	24.9							
P04520	21.4							
P04520	21.5							
P04520	22.5							
P04520	26							
P04520	26.6							
P04520	23.1							
P04520	23.8							
P04520	29.5							
P04520	25.6							
P04520	25							
P04520	26.4							
P04520	23.3							
P04520	24.5							
P04520	22							
P04520	16.9							
P04520	23.7							
P04520	27.4							
P04520	19.4							
P04520	26.4							
P04520	21.9							
P04520	24.2							
P04520	18.8							
P04520	29							
P04520	27.5							
P04520	25							
P04520	24.3							
P04520	26.5							
P04520	25.1							
P04520	24.1							
P04520	25							
P04520	24.9							
P04520	27.8							
P04520	25.3							
P04520	26.6							
P04520	25							
P04520	26.1							
P04520	24							
P04520	20.1							
P04520	26.7							
P04520	22.7							
P04520	22.7							
P04520	28							
P04520	27.6							
P04520	25.5							
P04520	19.5							
P04520	26.7							
P04520	22.5							
P04520	24							
P04520	26.1							
P04520	24.1							
P04520	25							
P04520	21.7							
P04520	24.7							
P04520	20.2							
P04520	23.9							
P04520	25.6							
P04520	23.2							
P04520	25.1							
P04520	21.7							
P04520	23.6							
P04520	18.2							
P04520	18							
P04520	15.2							
P04520	24.1							
P04520	26.6							
P04520	27.7							
P04520	25.6							
P04520	19.6							
P04520	26.3							
P04520	21.7							
P04520	21.3							
P04520	24.9							
P04520	21.5							
P04520	24.7							
P04520	23.5							
P04547	30.3							
P04547	29.3							
P04547	28.1							
P04547	23.8							
P04547	28.2							
P04547	26.3							
P04547	21.5							
P04547	28.4							
P04547	29.2							
P04547	26.2							
P04547	27.6							
P04547	29							
P04547	30							
P04547	23.9							
P04547	27.9							
P04547	26.6							
P04547	27.6							
P04547	24.4							
P04547	20.5							
P04547	28.9							
P04547	26.5							
P04547	32.6							
P04547	21.6							
P04547	24.7							
P04547	23.5							
P04547	25							
P04547	26.8							
P04547	20							
P04547	24.7							
P04547	25.7							
P04547	26.3							
P04547	23.3							
P04547	24.9							
P04547	19.1							
P04547	21.1							
P04547	27.1							
P04547	27.1							
P04547	27.6							
P04547	27.4							
P04547	30.2							
P04547	22.3							
P04547	29.6							
P04547	24.5							
P04547	24.4							
P04547	27.6							
P04547	26.5							
P04547	26.5							
P04547	26.8							
P04547	24.4							
P04547	24							
P04547	24.1							
P04547	22.7							
P04547	24.4							
P04547	29.3							
P04547	30.4							
P04547	33.4							
P04547	28.1							
P04547	21.6							
P04547	27.8							
P04547	26.1							
P04547	26							
P04547	29.9							
P04547	28.2							
P04547	27.2							
P04547	17.3							
P04547	18.2							
P04547	24							
P04547	26.8							
P04547	24.7							
P04547	26							
P04547	23.4							
P04547	25							
P04547	27.7							
P04547	20.8							
P04547	29.3							
P04547	28.1							
P04547	23.2							
P04547	28.2							
P04547	23.4							
P04547	24.3							
P04547	26.2							
P04547	26.6							
P04547	23.3							
P04547	27.2							
P04547	29.5							
P04547	27.5							
P04547	24.1							
P04547	26.5							
P04547	26.4							
P04547	26.5							
P04547	24.7							
P04547	29							
P04547	22.7							
P04547	26.8							
P04547	25.5							
P04547	24.4							
P04547	26.6							
P04547	27.3							
P04547	28.2							
P04547	26							
P04547	27.3							
P04547	22.6							
P04547	25.3							
P04547	27.4							
P04547	21.7							
P04547	26.4							
P04547	29.5							
P04547	26.5							
P04547	26.9							
P04547	20.9							
P04547	25.6							
P04547	26.1							
P04547	25.1							
P04547	27.2							
P04547	21.5							
P04547	20.5							
P04547	25.9							
P04547	21.3							
P04547	23.3							
P04547	25.3							
P04547	23.6							
P04547	26							
P04547	25.3							
P04547	27.2							
P04547	24.2							
P04547	23.4							
P04547	25.3							
P04547	25.9							
P04547	24.7							
P04547	22.8							
P04547	26.2							
P04547	29							
P04547	19.1							
P04547	28.2							
P04547	26.2							
P04547	22.1							
P04547	26							
P04547	19.5							
P04547	23.4							
P04547	29.5							
P04547	24.4							
P04547	23.3							
P04547	27.2							
P04547	24.6							
P04547	23.4							
P04547	26							
P04547	25.9							
P04547	29.1							
P04547	24.9							
P04547	17.3							
P04547	28.3							
P04547	24.7							
P04547	17.9							
P04547	27.2							
P04547	26.1							
P04547	23.4							
P04547	30							
P04547	24							
P04547	29							
P04547	18.2							
P04547	24.9							
P04547	24							
P04547	25.7							
P04547	30.4							
P04547	18							
P04547	24.5							
P04547	24.1							
P04547	23.2							
