CATALOG	SCIENCE	OC_CONTRY	COL_DATE	INFO	LENGTH	A_LENGTH	WEIGHT	INCREMENT	CRNO	STATION	LATITUDE	LONGITUDE	
M00001	Ejaponicus	Kenfong	1998/3/23	EJ9803001	28.93	27.62	0.1124	29	9803	A	024.45	121.53	
M00002	Ejaponicus	Kenfong	1998/3/23	EJ9803002	25.42	24.16	0.0801	27	9803	A	024.45	121.53	
M00003	Ejaponicus	Kenfong	1998/3/23	EJ9803003	26.85	25.50	0.0871	26	9803	A	024.45	121.53	
M00004	Ejaponicus	Kenfong	1998/3/23	EJ9803004	25.72	24.20	0.0842	27	9803	A	024.45	121.53	
M00007	Ejaponicus	Kenfong	1998/3/23	EJ9803007	25.25	23.84	0.0798	26	9803	A	024.45	121.53	
M00008	Ejaponicus	Kenfong	1998/3/23	EJ9803008	20.37	19.53	0.0366	19	9803	A	024.45	121.53	
M00009	Ejaponicus	Kenfong	1998/3/23	EJ9803009	21.06	19.56	0.0442	21	9803	A	024.45	121.53	
M00010	Ejaponicus	Kenfong	1998/3/23	EJ9803010	23.12	22.74	0.0527	21	9803	A	024.45	121.53	
M00011	Ejaponicus	Kenfong	1998/3/23	EJ9803011	23.26	22.32	0.0542	22	9803	A	024.45	121.53	
M00013	Ejaponicus	Kenfong	1998/3/23	EJ9803013	27.47	26.13	0.1136	29	9803	A	024.45	121.53	
M00014	Ejaponicus	Kenfong	1998/3/23	EJ9803014	26.85	24.98	0.0838	23	9803	A	024.45	121.53	
M00015	Ejaponicus	Kenfong	1998/3/23	EJ9803015	20.05	17.95	0.0279	16	9803	A	024.45	121.53	
M00016	Ejaponicus	Kenfong	1998/3/23	EJ9803016	20.60	20.03	0.0431	19	9803	A	024.45	121.53	
M00017	Ejaponicus	Kenfong	1998/3/23	EJ9803017	24.68	23.52	0.0713	22	9803	A	024.45	121.53	
M00018	Ejaponicus	Kenfong	1998/3/23	EJ9803018	24.29	23.18	0.0765	25	9803	A	024.45	121.53	
M00019	Ejaponicus	Kenfong	1998/3/23	EJ9803019	27.00	25.57	0.0934	26	9803	A	024.45	121.53	
M00020	Ejaponicus	Kenfong	1998/3/23	EJ9803020	18.29	17.40	0.0241	15	9803	A	024.45	121.53	
M00021	Ejaponicus	Kenfong	1998/3/23	EJ9803021	21.64	20.20	0.0454	20	9803	A	024.45	121.53	
M00022	Ejaponicus	Kenfong	1998/3/23	EJ9803022	18.87	17.99	0.0255	17	9803	A	024.45	121.53	
M00023	Ejaponicus	Kenfong	1998/3/23	EJ9803023	22.97	20.99	0.0589	22	9803	A	024.45	121.53	
M00024	Ejaponicus	Kenfong	1998/3/23	EJ9803024	24.38	23.17	0.0726	26	9803	A	024.45	121.53	
M00025	Ejaponicus	Kenfong	1998/3/23	EJ9803025	23.39	22.07	0.0601	22	9803	A	024.45	121.53	
M00026	Ejaponicus	Kenfong	1998/3/23	EJ9803026	17.21	16.06	0.0228	16	9803	A	024.45	121.53	
M00027	Ejaponicus	Kenfong	1998/3/23	EJ9803027	19.98	19.06	0.0310	17	9803	A	024.45	121.53	
M00028	Ejaponicus	Kenfong	1998/3/23	EJ9803028	21.30	20.06	0.0350	19	9803	A	024.45	121.53	
M00029	Ejaponicus	Kenfong	1998/3/23	EJ9803029	24.41	22.75	0.0609	22	9803	A	024.45	121.53	
M00030	Ejaponicus	Kenfong	1998/3/23	EJ9803030	26.15	25.28	0.0983	26	9803	A	024.45	121.53	
M00031	Ejaponicus	Kenfong	1998/3/23	EJ9803031	18.94	17.42	0.0283	16	9803	A	024.45	121.53	
M00032	Ejaponicus	Kenfong	1998/3/23	EJ9803032	19.40	17.83	0.0319	17	9803	A	024.45	121.53	
M00033	Ejaponicus	Kenfong	1998/3/23	EJ9803033	20.83	19.81	0.0384	20	9803	A	024.45	121.53	
M00034	Ejaponicus	Kenfong	1998/3/23	EJ9803034	27.41	25.59	0.1222	29	9803	A	024.45	121.53	
M00035	Ejaponicus	Kenfong	1998/3/23	EJ9803035	25.09	24.41	0.0792	26	9803	A	024.45	121.53	
M00036	Ejaponicus	Kenfong	1998/3/23	EJ9803036	22.48	21.42	0.0523	21	9803	A	024.45	121.53	
M00037	Ejaponicus	Kenfong	1998/3/23	EJ9803037	22.95	21.12	0.0550	21	9803	A	024.45	121.53	
M00038	Ejaponicus	Kenfong	1998/3/23	EJ9803038	21.96	20.46	0.0432	20	9803	A	024.45	121.53	
M00039	Ejaponicus	Kenfong	1998/3/23	EJ9803039	20.60	19.26	0.0349	17	9803	A	024.45	121.53	
M00040	Ejaponicus	Kenfong	1998/3/23	EJ9803040	23.83	22.07	0.0594	21	9803	A	024.45	121.53	
M00041	Ejaponicus	Kenfong	1998/3/23	EJ9803041	21.13	20.94	0.0305	17	9803	A	024.45	121.53	
M00043	Ejaponicus	Kenfong	1998/3/23	EJ9803043	25.68	24.34	0.0828	27	9803	A	024.45	121.53	
M00044	Ejaponicus	Kenfong	1998/3/23	EJ9803044	21.42	20.41	0.0466	21	9803	A	024.45	121.53	
M00045	Ejaponicus	Kenfong	1998/3/23	EJ9803045	28.86	27.37	0.1176	28	9803	A	024.45	121.53	
M00046	Ejaponicus	Kenfong	1998/3/23	EJ9803046	25.80	24.91	0.0947	27	9803	A	024.45	121.53	
M00048	Ejaponicus	Kenfong	1998/3/23	EJ9803048	25.10	23.93	0.0615	22	9803	A	024.45	121.53	
M00049	Ejaponicus	Kenfong	1998/3/23	EJ9803049	27.96	26.90	0.1218	27	9803	A	024.45	121.53	
M00050	Ejaponicus	Kenfong	1998/3/23	EJ9803050	27.65	26.63	0.1207	29	9803	A	024.45	121.53	
M00051	Ejaponicus	Kenfong	1998/3/23	EJ9803051	24.08	23.38	0.0721	21	9803	A	024.45	121.53	
M00052	Ejaponicus	Kenfong	1998/3/23	EJ9803052	26.39	25.36	0.1103	29	9803	A	024.45	121.53	
M00053	Ejaponicus	Kenfong	1998/3/23	EJ9803053	20.27	19.47	0.0392	19	9803	A	024.45	121.53	
M00054	Ejaponicus	Kenfong	1998/3/23	EJ9803054	21.10	20.05	0.0367	20	9803	A	024.45	121.53	
M00055	Ejaponicus	Kenfong	1998/3/23	EJ9803055	25.72	24.81	0.0764	22	9803	A	024.45	121.53	
M00056	Ejaponicus	Kenfong	1998/3/23	EJ9803056	26.23	25.28	0.0946	26	9803	A	024.45	121.53	
M00057	Ejaponicus	Kenfong	1998/3/23	EJ9803057	24.42	23.05	0.0769	26	9803	A	024.45	121.53	
M00058	Ejaponicus	Kenfong	1998/3/23	EJ9803058	20.18	18.59	0.0397	19	9803	A	024.45	121.53	
M00059	Ejaponicus	Kenfong	1998/3/23	EJ9803059	21.32	20.95	0.0474	20	9803	A	024.45	121.53	
M00060	Ejaponicus	Kenfong	1998/3/23	EJ9803060	20.54	19.62	0.0396	20	9803	A	024.45	121.53	
M00061	Ejaponicus	Kenfong	1998/3/23	EJ9803061	25.97	24.16	0.0882	26	9803	A	024.45	121.53	
M00062	Ejaponicus	Kenfong	1998/3/23	EJ9803062	23.00	21.94	0.0548	20	9803	A	024.45	121.53	
M00063	Ejaponicus	Kenfong	1998/3/23	EJ9803063	20.83	19.82	0.0387	20	9803	A	024.45	121.53	
M00064	Ejaponicus	Kenfong	1998/3/23	EJ9803064	24.30	23.85	0.0736	23	9803	A	024.45	121.53	
M00065	Ejaponicus	Kenfong	1998/3/23	EJ9803065	19.00	17.98	0.0279	17	9803	A	024.45	121.53	
M00066	Ejaponicus	Kenfong	1998/3/23	EJ9803066	21.24	20.25	0.0423	19	9803	A	024.45	121.53	
M00067	Ejaponicus	Kenfong	1998/3/23	EJ9803067	21.22	19.85	0.0364	19	9803	A	024.45	121.53	
M00068	Ejaponicus	Kenfong	1998/3/23	EJ9803068	25.03	23.65	0.0802	23	9803	A	024.45	121.53	
M00069	Ejaponicus	Kenfong	1998/3/23	EJ9803069	24.64	23.67	0.0705	22	9803	A	024.45	121.53	
M00070	Ejaponicus	Kenfong	1998/3/23	EJ9803070	19.90	19.08	0.0354	18	9803	A	024.45	121.53	
M00071	Ejaponicus	Kenfong	1998/3/23	EJ9803071	19.22	18.66	0.0219	15	9803	A	024.45	121.53	
M00072	Ejaponicus	Kenfong	1998/3/23	EJ9803072	26.44	24.73	0.1103	27	9803	A	024.45	121.53	
M00073	Ejaponicus	Kenfong	1998/3/23	EJ9803073	20.21	18.37	0.0306	17	9803	A	024.45	121.53	
M00074	Ejaponicus	Kenfong	1998/3/23	EJ9803074	20.00	19.35	0.0382	20	9803	A	024.45	121.53	
M00075	Ejaponicus	Kenfong	1998/3/23	EJ9803075	24.65	23.90	0.0763	26	9803	A	024.45	121.53	
M00076	Ejaponicus	Kenfong	1998/8/10	EJ9808001	19.49	18.27	0.0345	19	9808	A	024.45	121.53	
M00077	Ejaponicus	Kenfong	1998/8/10	EJ9808002	22.61	21.21	0.0638	23	9808	A	024.45	121.53	
M00078	Ejaponicus	Kenfong	1998/8/10	EJ9808003	20.01	18.26	0.0416	20	9808	A	024.45	121.53	
M00079	Ejaponicus	Kenfong	1998/8/10	EJ9808004	23.40	21.82	0.0702	22	9808	A	024.45	121.53	
M00080	Ejaponicus	Kenfong	1998/8/10	EJ9808005	21.03	19.84	0.0452	19	9808	A	024.45	121.53	
M00081	Ejaponicus	Kenfong	1998/8/10	EJ9808006	26.12	24.73	0.1201	28	9808	A	024.45	121.53	
M00082	Ejaponicus	Kenfong	1998/8/10	EJ9808007	22.25	20.60	0.0571	23	9808	A	024.45	121.53	
M00083	Ejaponicus	Kenfong	1998/8/10	EJ9808008	20.54	18.62	0.0411	18	9808	A	024.45	121.53	
M00084	Ejaponicus	Kenfong	1998/8/10	EJ9808009	21.38	20.13	0.0528	20	9808	A	024.45	121.53	
M00085	Ejaponicus	Kenfong	1998/8/10	EJ9808010	23.12	21.92	0.0774	24	9808	A	024.45	121.53	
M00086	Ejaponicus	Kenfong	1998/8/10	EJ9808011	20.52	19.41	0.0466	20	9808	A	024.45	121.53	
M00087	Ejaponicus	Kenfong	1998/8/10	EJ9808012	22.59	21.13	0.0626	22	9808	A	024.45	121.53	
M00088	Ejaponicus	Kenfong	1998/8/10	EJ9808013	21.95	20.43	0.0559	20	9808	A	024.45	121.53	
M00089	Ejaponicus	Kenfong	1998/8/10	EJ9808014	25.77	24.39	0.1191	28	9808	A	024.45	121.53	
M00090	Ejaponicus	Kenfong	1998/8/10	EJ9808015	24.09	22.45	0.0871	24	9808	A	024.45	121.53	
M00091	Ejaponicus	Kenfong	1998/8/10	EJ9808016	19.89	18.44	0.0417	20	9808	A	024.45	121.53	
M00092	Ejaponicus	Kenfong	1998/8/10	EJ9808017	23.33	20.91	0.0776	23	9808	A	024.45	121.53	
M00093	Ejaponicus	Kenfong	1998/8/10	EJ9808018	20.88	19.64	0.0479	18	9808	A	024.45	121.53	
M00094	Ejaponicus	Kenfong	1999/8/10	EJ9808019	19.43	18.00	0.0334	18	9808	A	024.45	121.53	
M00095	Ejaponicus	Kenfong	1999/8/10	EJ9808020	21.34	19.82	0.0506	20	9808	A	024.45	121.53	
M00096	Ejaponicus	Kenfong	1998/8/10	EJ9808021	21.95	20.82	0.0559	21	9808	A	024.45	121.53	
M00097	Ejaponicus	Kenfong	1998/8/10	EJ9808022	19.36	18.26	0.0355	19	9808	A	024.45	121.53	
M00098	Ejaponicus	Kenfong	1998/8/10	EJ9808023	20.10	18.63	0.0409	19	9808	A	024.45	121.53	
M00099	Ejaponicus	Kenfong	1998/8/10	EJ9808024	17.62	16.34	0.0290	16	9808	A	024.45	121.53	
M00100	Ejaponicus	Kenfong	1998/8/10	EJ9808025	27.83	26.09	0.1830	28	9808	A	024.45	121.53	
M00101	Ejaponicus	Kenfong	1998/8/10	EJ9808026	25.92	24.81	0.1201	27	9808	A	024.45	121.53	
M00102	Ejaponicus	Kenfong	1998/8/10	EJ9808027	19.10	17.56	0.0312	21	9808	A	024.45	121.53	
M00103	Ejaponicus	Kenfong	1998/8/10	EJ9808028	20.64	19.07	0.0450	21	9808	A	024.45	121.53	
M00104	Ejaponicus	Kenfong	1998/8/10	EJ9808029	20.39	18.62	0.0417	19	9808	A	024.45	121.53	
M00105	Ejaponicus	Kenfong	1998/8/10	EJ9808030	24.73	22.96	0.0978	26	9808	A	024.45	121.53	
M00106	Ejaponicus	Kenfong	1998/8/10	EJ9808031	25.09	23.60	0.0987	26	9808	A	024.45	121.53	
M00107	Ejaponicus	Kenfong	1998/8/10	EJ9808032	21.30	19.85	0.0522	20	9808	A	024.45	121.53	
M00108	Ejaponicus	Kenfong	1998/8/10	EJ9808033	19.48	18.05	0.0320	19	9808	A	024.45	121.53	
M00109	Ejaponicus	Kenfong	1998/8/10	EJ9808034	23.07	21.14	0.0676	21	9808	A	024.45	121.53	
M00110	Ejaponicus	Kenfong	1998/8/10	EJ9808035	20.50	18.92	0.0441	19	9808	A	024.45	121.53	
M00111	Ejaponicus	Kenfong	1998/8/10	EJ9808036	16.89	15.80	0.0222	16	9808	A	024.45	121.53	
M00112	Ejaponicus	Kenfong	1998/8/10	EJ9808037	20.60	19.30	0.0444	21	9808	A	024.45	121.53	
M00113	Ejaponicus	Kenfong	1998/8/10	EJ9808038	24.32	23.06	0.0919	25	9808	A	024.45	121.53	
M00114	Ejaponicus	Kenfong	1998/8/10	EJ9808039	24.94	23.81	0.0975	25	9808	A	024.45	121.53	
M00114	Ejaponicus	Kenfong	1998/8/10	EJ9808040	20.29	18.91	0.0404	21	9808	A	024.45	121.53	
M00116	Ejaponicus	Kenfong	1998/8/10	EJ9808041	22.23	21.08	0.0584	22	9808	A	024.45	121.53	
M00117	Ejaponicus	Kenfong	1998/8/10	EJ9808042	21.54	20.07	0.0533	22	9808	A	024.45	121.53	
M00118	Ejaponicus	Kenfong	1998/8/10	EJ9808043	18.15	16.72	0.0298	18	9808	A	024.45	121.53	
M00119	Ejaponicus	Kenfong	1998/8/10	EJ9808044	17.78	16.31	0.0271	16	9808	A	024.45	121.53	
M00120	Ejaponicus	Kenfong	1998/8/10	EJ9808045	19.42	18.16	0.0321	17	9808	A	024.45	121.53	
M00121	Ejaponicus	Kenfong	1998/8/10	EJ9808046	21.10	19.54	0.0517	20	9808	A	024.45	121.53	
M00122	Ejaponicus	Kenfong	1998/8/10	EJ9808047	22.91	21.29	0.0673	21	9808	A	024.45	121.53	
